company,Name,Ticker
Dean Foods,Dean Foods Company,DF
OfficeMax,"Office Depot, Inc.",ODP
Hormel Foods,Hormel Foods Corporation,HRL
United Technologies,United Technologies Corporation,UTX
Xerox,Xerox Corporation,XRX
Dover,Dover Corporation,DOV
Kellogg,Kellogg Company,K
Rockwell Automation,Rockwell Automation Inc.,ROK
General Dynamics,General Dynamics Corporation,GD
Pfizer,Pfizer Inc.,PFE
Merck,"Merck & Co., Inc.",MRK
General Motors,General Motors Company,GM
Colgate-Palmolive,Colgate-Palmolive Company,CL
International Paper,International Paper Company,IP
General Electric,General Electric Company,GE
Masco,Masco Corporation,MAS
Northrop Grumman,Northrop Grumman Corporation,NOC
Raytheon,Raytheon Company,RTN
VF,VFC,
Whirlpool,Whirlpool Corporation,WHR
Texas Instruments,Texas Instruments Incorporated,TXN
ConocoPhillips,ConocoPhillips,COP
PPG Industries,"PPG Industries, Inc.",PPG
Emerson Electric,Emerson Electric Co.,EMR
Intel,Intel Corporation,INTC
Berkshire Hathaway,Berkshire Hathaway Inc.,BRK-A
Exxon Mobil,Exxon Mobil Corporation,XOM
Kimberly-Clark,Kimberly-Clark Corporation,KMB
Caterpillar,Caterpillar Inc.,CAT
Archer Daniels Midland,Archer-Daniels-Midland Company,ADM
Abbott Laboratories,Abbott Laboratories,ABT
3M,3M Company,MMM
Paccar,PACCAR Inc,PCAR
Occidental Petroleum,Occidental Petroleum Corporation,OXY
General Mills,"General Mills, Inc.",GIS
Lockheed Martin,Lockheed Martin Corporation,LMT
Deere,Deere & Company,DE
Coca-Cola,The Coca-Cola Company,KO
Becton Dickinson,"Becton, Dickinson and Company",BDX
Weyerhaeuser,Weyerhaeuser Co.,WY
Baxter International,Baxter International Inc.,BAX
Bristol-Myers Squibb,Bristol-Myers Squibb Company,BMY
Campbell Soup,Campbell Soup Company,CPB
Tyson Foods,"Tyson Foods, Inc.",TSN
Goodyear Tire & Rubber,The Goodyear Tire & Rubber Company,GT
Procter & Gamble,The Procter & Gamble Company,PG
Owens-Illinois,"Owens-Illinois, Inc.",OI
Avery Dennison,Avery Dennison Corporation,AVY
Illinois Tool Works,Illinois Tool Works Inc.,ITW
Boeing,The Boeing Company,BA
Owens Corning,Owens Corning,OC
Eli Lilly,Eli Lilly and Company,LLY
Ford Motor,Ford Motor Company,F
Altria Group,"Altria Group, Inc.",MO
Johnson & Johnson,Johnson & Johnson,JNJ
Crown Holdings,"Crown Holdings, Inc.",CCK
R.R. Donnelley & Sons,R.R. Donnelley & Sons Company,RRD
Sherwin-Williams,The Sherwin-Williams Company,SHW
Cummins,Cummins Inc.,CMI
PepsiCo,"Pepsico, Inc.",PEP
Nucor,Nucor Corporation,NUE
Textron,Textron Inc.,TXT
Corning,Corning Incorporated,GLW
U.S. Bancorp,U.S. Bancorp,USB
Alcoa,Alcoa Corporation,AA
Avon Products,"Avon Products, Inc.",AVP
Lear,Lear Corporation,LEA
Valero Energy,Valero Energy Corporation,VLO
Navistar International,Navistar International Corporation,NAV
Ball,Ball Corporation,BLL
Marathon Oil,Marathon Oil Corporation,MRO
Baker Hughes,Baker Hughes Incorporated,BHI
DuPont,"DuPont Fabros Technology, Inc.",DFT
Dow Chemical,The Dow Chemical Company,DOW
Mattel,"Mattel, Inc.",MAT
Monsanto,Monsanto Company,MON
Johnson Controls,Johnson Controls International plc,JCI
Applied Materials,"Applied Materials, Inc.",AMAT
ConAgra Foods,CAG,
Ashland,Ashland Global Holdings Inc.,ASH
Coca-Cola Enterprises,KO,
H.J. Heinz,KHC,
Danaher,Danaher Corporation,DHR
Sealed Air,Sealed Air Corporation,SEE
CBS,CBS Corporation,CBS
Gannett,"Gannett Co., Inc.",GCI
Hewlett-Packard,Hewlett Packard Enterprise Company,HPE
Clorox,The Clorox Company,CLX
Morgan Stanley,Morgan Stanley,MS-PF
Exelon,Exelon Corporation,EXC
Microsoft,Microsoft Corporation,MSFT
Publix Super Markets,"Publix Super Markets, Inc.",PUSH
Gap,"The Gap, Inc.",GPS
AmerisourceBergen,AmerisourceBergen Corporation,ABC
Edison International,Edison International,EIX
Marsh & McLennan,"Marsh & McLennan Companies, Inc.",MMC
Viacom,"Viacom, Inc.",VIAB
Progressive,The Progressive Corporation,PGR
TJX,"The TJX Companies, Inc.",TJX
Time Warner,Time Warner Inc.,TWX
CSX,CSX Corporation,CSX
Wells Fargo,Wells Fargo & Company,WFC
UnitedHealth Group,UnitedHealth Group Incorporated,UNH
American Express,American Express Company,AXP
Praxair,"Praxair, Inc.",PX
PPL,PPL Corporation,PPL
Consolidated Edison,"Consolidated Edison, Inc.",ED
Newell Rubbermaid,NWL,
Entergy,Entergy Corporation,ETR
Humana,Humana Inc.,HUM
Delta Air Lines,"Delta Air Lines, Inc.",DAL
Nordstrom,"Nordstrom, Inc.",JWN
Genuine Parts,Genuine Parts Company,GPC
Pitney Bowes,Pitney Bowes Inc.,PBI
